Date,USD/MYR,USD/EUR,USD/SGD,USD/SAR,USD/JPY
26-02-16,4.2022,0.9085,1.4022,3.7487,113.15
25-02-16,4.2098,0.9071,1.4032,3.7488,112.38
24-02-16,4.2286,0.9084,1.4066,3.7487,111.79
23-02-16,4.2,0.9071,1.404,3.7489,112.27
22-02-16,4.1884,0.903,1.4024,3.7478,112.94
21-02-16,4.203,0.8982,1.4044,3.749,112.53
20-02-16,4.203,0.8982,1.4044,3.749,112.53
19-02-16,4.2105,0.8997,1.406,3.7489,112.9
18-02-16,4.1635,0.8993,1.4034,3.7491,113.84
17-02-16,4.1931,0.8973,1.4063,3.7489,114.02
16-02-16,4.1622,0.8961,1.4021,3.7489,114.23
15-02-16,4.13,0.893,1.3989,3.7478,113.99
14-02-16,4.17,0.8882,1.3969,3.7483,113.19
13-02-16,4.1435,0.8882,1.3969,3.7484,113.2
12-02-16,4.1523,0.8863,1.3945,3.7488,112.65
11-02-16,4.1211,0.8839,1.3898,3.7479,112.4
10-02-16,4.128,0.8873,1.394,3.7476,114.62
09-02-16,4.1558,0.8902,1.402,3.748,115.05
08-02-16,4.1677,0.8969,1.4056,3.747,116.6
07-02-16,4.154,0.8958,1.4071,3.7473,116.82
06-02-16,4.154,0.8958,1.4071,3.7473,116.82
05-02-16,4.1357,0.8944,1.4003,3.7477,116.87
04-02-16,4.1159,0.8975,1.4068,3.7478,117.55
03-02-16,4.2018,0.9121,1.4273,3.7479,119.15
02-02-16,4.2022,0.9167,1.4253,3.7476,120.6
01-02-16,4.1544,0.9206,1.4238,3.7474,121.19
31-01-16,4.14,0.9231,1.4229,3.7476,121.11
30-01-16,4.14,0.9231,1.423,3.7476,121.11
29-01-16,4.1417,0.9178,1.4247,3.7484,120.3
28-01-16,4.1928,0.9165,1.4282,3.7477,118.72
27-01-16,4.2413,0.9198,1.4276,3.7485,118.42
26-01-16,4.2699,0.922,1.4289,3.7482,118.26
25-01-16,4.2588,0.9243,1.4283,3.7489,118.56
24-01-16,4.2575,0.9259,1.429,3.7507,118.74
23-01-16,4.2575,0.9259,1.429,3.7507,118.75
22-01-16,4.2893,0.9231,1.4296,3.7508,118.14
21-01-16,4.3629,0.9194,1.4372,3.7504,117.13
20-01-16,4.3827,0.9154,1.438,3.7494,116.85
19-01-16,4.3714,0.9182,1.4364,3.7484,117.65
18-01-16,4.3943,0.9175,1.439,3.7478,117.23
17-01-16,4.41,0.9157,1.4388,3.7466,116.96
16-01-16,4.4205,0.9158,1.4388,3.7466,116.97
15-01-16,4.3973,0.9171,1.4394,3.7479,117.47
14-01-16,4.3882,0.9188,1.4384,3.7486,117.76
13-01-16,4.3756,0.9226,1.4346,3.7492,118.07
12-01-16,4.3923,0.9208,1.4371,3.7512,117.65
11-01-16,4.3917,0.9171,1.4372,3.752,117.4
10-01-16,4.408,0.9148,1.4421,3.7524,117.19
09-01-16,4.408,0.9148,1.4421,3.7524,117.2
08-01-16,4.3866,0.9183,1.4363,3.754,118.04
07-01-16,4.3928,0.923,1.4349,3.7544,117.96
06-01-16,4.3945,0.9301,1.4325,3.7515,118.65
05-01-16,4.3413,0.927,1.425,3.7511,119.21
04-01-16,4.3381,0.9202,1.423,3.7518,119.48
03-01-16,4.295,0.9199,1.4163,3.7523,120.2
02-01-16,4.2935,0.9199,1.4163,3.7523,120.2
01-01-16,4.2935,0.9199,1.4163,3.7523,120.2
31-12-15,4.2966,0.9168,1.4145,3.7522,120.36
30-12-15,4.2942,0.9152,1.4138,3.7502,120.49
29-12-15,4.2859,0.9124,1.4103,3.7495,120.38
28-12-15,4.2887,0.9112,1.4067,3.7495,120.39
27-12-15,4.29,0.912,1.4044,3.7505,120.27
26-12-15,4.29,0.912,1.4044,3.7505,120.27
25-12-15,4.29,0.912,1.4044,3.7505,120.27
24-12-15,4.2794,0.914,1.4048,3.7501,120.52
23-12-15,4.2934,0.9152,1.4057,3.7498,120.96
22-12-15,4.2943,0.9145,1.4053,3.7508,121.08
21-12-15,4.2879,0.9189,1.4104,3.7511,121.24
20-12-15,4.287,0.9199,1.4122,3.7493,121.12
19-12-15,4.2735,0.9199,1.4122,3.7493,121.12
18-12-15,4.2843,0.9226,1.4146,3.7499,121.84
17-12-15,4.3132,0.9215,1.4149,3.7487,122.51
16-12-15,4.2976,0.9144,1.4079,3.7489,121.83
15-12-15,4.3078,0.9101,1.4076,3.7489,121.16
14-12-15,4.3331,0.9105,1.4104,3.7492,120.94
13-12-15,4.32,0.9093,1.4123,3.7487,120.96
12-12-15,4.32,0.9093,1.4123,3.7487,120.95
11-12-15,4.3051,0.9124,1.4079,3.7492,121.56
10-12-15,4.2549,0.9108,1.4028,3.7494,121.55
09-12-15,4.2564,0.9143,1.406,3.7495,122.43
08-12-15,4.28,0.9206,1.4082,3.7491,123.08
07-12-15,4.21,0.9218,1.4021,3.7494,123.29
06-12-15,4.1774,0.9186,1.3969,3.7499,123.08
05-12-15,4.177,0.9186,1.3969,3.7499,123.08
04-12-15,4.1971,0.917,1.396,3.7498,122.82
03-12-15,4.2186,0.9357,1.407,3.7489,123.2
02-12-15,4.2325,0.9427,1.4089,3.7494,123.13
01-12-15,4.2279,0.9437,1.4091,3.7499,122.99
30-11-15,4.2535,0.9452,1.4119,3.7501,122.93
29-11-15,4.26,0.9437,1.4128,3.7509,122.7
28-11-15,4.2499,0.9437,1.4128,3.7509,122.71
27-11-15,4.245,0.9432,1.4105,3.751,122.63
