DATE,YEAR,VALUE
06-04-06,2006,6.43
13-04-06,2006,6.49
20-04-06,2006,6.53
27-04-06,2006,6.58
04-05-06,2006,6.59
11-05-06,2006,6.58
18-05-06,2006,6.6
25-05-06,2006,6.62
01-06-06,2006,6.67
08-06-06,2006,6.62
15-06-06,2006,6.63
22-06-06,2006,6.71
29-06-06,2006,6.78
06-07-06,2006,6.79
13-07-06,2006,6.74
20-07-06,2006,6.8
27-07-06,2006,6.72
03-08-06,2006,6.63
10-08-06,2006,6.55
17-08-06,2006,6.52
24-08-06,2006,6.48
31-08-06,2006,6.44
07-09-06,2006,6.47
14-09-06,2006,6.43
21-09-06,2006,6.4
28-09-06,2006,6.31
05-10-06,2006,6.3
12-10-06,2006,6.37
19-10-06,2006,6.36
26-10-06,2006,6.4
02-11-06,2006,6.31
09-11-06,2006,6.33
16-11-06,2006,6.24
22-11-06,2006,6.18
30-11-06,2006,6.14
07-12-06,2006,6.11
14-12-06,2006,6.12
21-12-06,2006,6.13
28-12-06,2006,6.18
04-01-07,2007,6.18
11-01-07,2007,6.21
18-01-07,2007,6.23
25-01-07,2007,6.25
01-02-07,2007,6.34
08-02-07,2007,6.28
15-02-07,2007,6.3
22-02-07,2007,6.22
01-03-07,2007,6.18
08-03-07,2007,6.14
15-03-07,2007,6.14
22-03-07,2007,6.16
29-03-07,2007,6.16
05-04-07,2007,6.17
12-04-07,2007,6.22
19-04-07,2007,6.17
26-04-07,2007,6.16
03-05-07,2007,6.16
10-05-07,2007,6.15
17-05-07,2007,6.21
24-05-07,2007,6.37
31-05-07,2007,6.42
07-06-07,2007,6.53
14-06-07,2007,6.74
21-06-07,2007,6.69
28-06-07,2007,6.67
05-07-07,2007,6.63
12-07-07,2007,6.73
19-07-07,2007,6.73
26-07-07,2007,6.69
02-08-07,2007,6.68
09-08-07,2007,6.59
16-08-07,2007,6.62
23-08-07,2007,6.52
30-08-07,2007,6.45
06-09-07,2007,6.46
13-09-07,2007,6.31
20-09-07,2007,6.34
27-09-07,2007,6.42
04-10-07,2007,6.37
11-10-07,2007,6.4
18-10-07,2007,6.4
25-10-07,2007,6.33
01-11-07,2007,6.26
08-11-07,2007,6.24
15-11-07,2007,6.24
21-11-07,2007,6.2
29-11-07,2007,6.1
06-12-07,2007,5.96
13-12-07,2007,6.11
20-12-07,2007,6.14
27-12-07,2007,6.17
03-01-08,2008,6.07
10-01-08,2008,5.87
17-01-08,2008,5.69
24-01-08,2008,5.48
31-01-08,2008,5.68
07-02-08,2008,5.67
14-02-08,2008,5.72
21-02-08,2008,6.04
28-02-08,2008,6.24
06-03-08,2008,6.03
13-03-08,2008,6.13
20-03-08,2008,5.87
27-03-08,2008,5.85
03-04-08,2008,5.88
10-04-08,2008,5.88
17-04-08,2008,5.88
24-04-08,2008,6.03
01-05-08,2008,6.06
08-05-08,2008,6.05
15-05-08,2008,6.01
22-05-08,2008,5.98
29-05-08,2008,6.08
05-06-08,2008,6.09
12-06-08,2008,6.32
19-06-08,2008,6.42
26-06-08,2008,6.45
03-07-08,2008,6.35
10-07-08,2008,6.37
17-07-08,2008,6.26
24-07-08,2008,6.63
31-07-08,2008,6.52
07-08-08,2008,6.52
14-08-08,2008,6.52
21-08-08,2008,6.47
28-08-08,2008,6.4
04-09-08,2008,6.35
11-09-08,2008,5.93
18-09-08,2008,5.78
25-09-08,2008,6.09
02-10-08,2008,6.1
09-10-08,2008,5.94
16-10-08,2008,6.46
23-10-08,2008,6.04
30-10-08,2008,6.46
06-11-08,2008,6.2
13-11-08,2008,6.14
20-11-08,2008,6.04
26-11-08,2008,5.97
04-12-08,2008,5.53
11-12-08,2008,5.47
18-12-08,2008,5.19
24-12-08,2008,5.14
31-12-08,2008,5.1
08-01-09,2009,5.01
15-01-09,2009,4.96
22-01-09,2009,5.12
29-01-09,2009,5.1
05-02-09,2009,5.25
12-02-09,2009,5.16
19-02-09,2009,5.04
26-02-09,2009,5.07
05-03-09,2009,5.15
12-03-09,2009,5.03
19-03-09,2009,4.98
26-03-09,2009,4.85
02-04-09,2009,4.78
09-04-09,2009,4.87
16-04-09,2009,4.82
23-04-09,2009,4.8
30-04-09,2009,4.78
07-05-09,2009,4.84
14-05-09,2009,4.86
21-05-09,2009,4.82
28-05-09,2009,4.91
04-06-09,2009,5.29
11-06-09,2009,5.59
18-06-09,2009,5.38
25-06-09,2009,5.42
02-07-09,2009,5.32
09-07-09,2009,5.2
16-07-09,2009,5.14
23-07-09,2009,5.2
30-07-09,2009,5.25
06-08-09,2009,5.22
13-08-09,2009,5.29
20-08-09,2009,5.12
27-08-09,2009,5.14
03-09-09,2009,5.08
10-09-09,2009,5.07
17-09-09,2009,5.04
24-09-09,2009,5.04
01-10-09,2009,4.94
08-10-09,2009,4.87
15-10-09,2009,4.92
22-10-09,2009,5
29-10-09,2009,5.03
05-11-09,2009,4.98
12-11-09,2009,4.91
19-11-09,2009,4.83
25-11-09,2009,4.78
03-12-09,2009,4.71
10-12-09,2009,4.81
17-12-09,2009,4.94
24-12-09,2009,5.05
31-12-09,2009,5.14
07-01-10,2010,5.09
14-01-10,2010,5.06
21-01-10,2010,4.99
28-01-10,2010,4.98
04-02-10,2010,5.01
11-02-10,2010,4.97
18-02-10,2010,4.93
25-02-10,2010,5.05
04-03-10,2010,4.97
11-03-10,2010,4.95
18-03-10,2010,4.96
25-03-10,2010,4.99
01-04-10,2010,5.08
08-04-10,2010,5.21
15-04-10,2010,5.07
22-04-10,2010,5.07
29-04-10,2010,5.06
06-05-10,2010,5
13-05-10,2010,4.93
20-05-10,2010,4.84
27-05-10,2010,4.78
03-06-10,2010,4.79
10-06-10,2010,4.72
17-06-10,2010,4.75
24-06-10,2010,4.69
01-07-10,2010,4.58
08-07-10,2010,4.57
15-07-10,2010,4.57
22-07-10,2010,4.56
29-07-10,2010,4.54
05-08-10,2010,4.49
12-08-10,2010,4.44
19-08-10,2010,4.42
26-08-10,2010,4.36
02-09-10,2010,4.32
09-09-10,2010,4.35
16-09-10,2010,4.37
23-09-10,2010,4.37
30-09-10,2010,4.32
07-10-10,2010,4.27
14-10-10,2010,4.19
21-10-10,2010,4.21
28-10-10,2010,4.23
04-11-10,2010,4.24
11-11-10,2010,4.17
18-11-10,2010,4.39
24-11-10,2010,4.4
02-12-10,2010,4.46
09-12-10,2010,4.61
16-12-10,2010,4.83
23-12-10,2010,4.81
30-12-10,2010,4.86
06-01-11,2011,4.77
13-01-11,2011,4.71
20-01-11,2011,4.74
27-01-11,2011,4.8
03-02-11,2011,4.81
10-02-11,2011,5.05
17-02-11,2011,5
24-02-11,2011,4.95
03-03-11,2011,4.87
10-03-11,2011,4.88
17-03-11,2011,4.76
24-03-11,2011,4.81
31-03-11,2011,4.86
07-04-11,2011,4.87
14-04-11,2011,4.91
21-04-11,2011,4.8
28-04-11,2011,4.78
05-05-11,2011,4.71
12-05-11,2011,4.63
19-05-11,2011,4.61
26-05-11,2011,4.6
02-06-11,2011,4.55
09-06-11,2011,4.49
16-06-11,2011,4.5
23-06-11,2011,4.5
30-06-11,2011,4.51
07-07-11,2011,4.6
14-07-11,2011,4.51
21-07-11,2011,4.52
28-07-11,2011,4.55
04-08-11,2011,4.39
11-08-11,2011,4.32
18-08-11,2011,4.15
25-08-11,2011,4.22
01-09-11,2011,4.22
08-09-11,2011,4.12
15-09-11,2011,4.09
22-09-11,2011,4.09
29-09-11,2011,4.01
06-10-11,2011,3.94
13-10-11,2011,4.12
20-10-11,2011,4.11
27-10-11,2011,4.1
03-11-11,2011,4
10-11-11,2011,3.99
17-11-11,2011,4
23-11-11,2011,3.98
01-12-11,2011,4
08-12-11,2011,3.99
15-12-11,2011,3.94
22-12-11,2011,3.91
29-12-11,2011,3.95
05-01-12,2012,3.91
12-01-12,2012,3.89
19-01-12,2012,3.88
26-01-12,2012,3.98
02-02-12,2012,3.87
09-02-12,2012,3.87
16-02-12,2012,3.87
23-02-12,2012,3.95
01-03-12,2012,3.9
08-03-12,2012,3.88
15-03-12,2012,3.92
22-03-12,2012,4.08
29-03-12,2012,3.99
05-04-12,2012,3.98
12-04-12,2012,3.88
19-04-12,2012,3.9
26-04-12,2012,3.88
03-05-12,2012,3.84
10-05-12,2012,3.83
17-05-12,2012,3.79
24-05-12,2012,3.78
31-05-12,2012,3.75
07-06-12,2012,3.67
14-06-12,2012,3.71
21-06-12,2012,3.66
28-06-12,2012,3.66
05-07-12,2012,3.62
12-07-12,2012,3.56
19-07-12,2012,3.53
26-07-12,2012,3.49
02-08-12,2012,3.55
09-08-12,2012,3.59
16-08-12,2012,3.62
23-08-12,2012,3.66
30-08-12,2012,3.59
06-09-12,2012,3.55
13-09-12,2012,3.55
20-09-12,2012,3.49
27-09-12,2012,3.4
04-10-12,2012,3.36
11-10-12,2012,3.39
18-10-12,2012,3.37
25-10-12,2012,3.41
01-11-12,2012,3.39
08-11-12,2012,3.4
15-11-12,2012,3.34
21-11-12,2012,3.31
29-11-12,2012,3.32
06-12-12,2012,3.34
13-12-12,2012,3.32
20-12-12,2012,3.37
27-12-12,2012,3.35
03-01-13,2013,3.34
10-01-13,2013,3.4
17-01-13,2013,3.38
24-01-13,2013,3.42
31-01-13,2013,3.53
07-02-13,2013,3.53
14-02-13,2013,3.53
21-02-13,2013,3.56
28-02-13,2013,3.51
07-03-13,2013,3.52
14-03-13,2013,3.63
21-03-13,2013,3.54
28-03-13,2013,3.57
04-04-13,2013,3.54
11-04-13,2013,3.43
18-04-13,2013,3.41
25-04-13,2013,3.4
02-05-13,2013,3.35
09-05-13,2013,3.42
16-05-13,2013,3.51
23-05-13,2013,3.59
30-05-13,2013,3.81
06-06-13,2013,3.91
13-06-13,2013,3.98
20-06-13,2013,3.93
27-06-13,2013,4.46
03-07-13,2013,4.29
11-07-13,2013,4.51
18-07-13,2013,4.37
25-07-13,2013,4.31
01-08-13,2013,4.39
08-08-13,2013,4.4
15-08-13,2013,4.4
22-08-13,2013,4.58
29-08-13,2013,4.51
05-09-13,2013,4.57
12-09-13,2013,4.57
19-09-13,2013,4.5
26-09-13,2013,4.32
03-10-13,2013,4.22
10-10-13,2013,4.23
17-10-13,2013,4.28
24-10-13,2013,4.13
31-10-13,2013,4.1
07-11-13,2013,4.16
14-11-13,2013,4.35
21-11-13,2013,4.22
27-11-13,2013,4.29
05-12-13,2013,4.46
12-12-13,2013,4.42
19-12-13,2013,4.47
26-12-13,2013,4.48
02-01-14,2014,4.53
09-01-14,2014,4.51
16-01-14,2014,4.41
23-01-14,2014,4.39
30-01-14,2014,4.32
06-02-14,2014,4.23
13-02-14,2014,4.28
20-02-14,2014,4.33
27-02-14,2014,4.37
06-03-14,2014,4.28
13-03-14,2014,4.37
20-03-14,2014,4.32
27-03-14,2014,4.4
